3316C1E9	Geoffrey Mazeroff A
7C683AB5	Intensity-modulated radiotherapy � a large scale multi-criteria programming problem
2707DFD9	Anti-Obesity Effect and Fermentation Characteristics of American Preferred Kimchi Added to Garcinia Cambogia Extracts (Hydroxy Citric Acid)
7C975670	Strategic alliances and the intellectual capital of firms
7A376D02	Correlated statistical fluctuations and galaxy formation
7B028ACE	On Improving Image Segmentation
5EE340F9	An Improved Rough Decision-Making Model Based on Equivalent Hierarchical Cluster and It's Empirical Study
0936DEF7	HFS: A Flexible File System for large-scale Multiprocessors
791377A9	Distribution and community structure of euphausiids in the Southern Ocean along the 140°E meridian during the austral summer 2001/2002
810AF7B9	Robust Hit Identification by Quality Assurance and Multivariate Data Analysis of a High-Content, Cell-Based Assay
7DFF7453	Effects of sediment compaction on macroinfauna in a protected coastal wetland in Taiwan
17B1C2FC	Shape segmentation by hierarchical splat clustering
05E8660D	A Novel K-Means Hierarchical Clustering Algorithm for Efficient Information Extraction from Large Data Sets
78C538B0	Eating quality of beef, from different production systems, assessed by German, Spanish and British consumers
013AC9BD	An Interactive Evolutionary Design System with Feature Extraction
21E0CF21	Méthodologie de Création d'un Indice de Défaveur Contextuelle - Un Outil Permettant l'Analyse des Inégalités Sociales de Santé
38445C10	MicroRNAs: Real-time quantification of microRNAs by TaqMan® assays
7B6AC3F7	Chemical Fingerprint Analysis for Quality Control of Herba Ephedrae Based on HPLC-DAD Combined with Chemometrics Methods
7ABC5D06	The Dynamics of Poor Systems of Galaxies
75CE954F	Extraction and analysis of different Cannabis samples by headspace solid‐phase microextraction combined with gas chromatography‐mass spectrometry
6BE9E96B	A Hierarchical Clustering Method for Semantic Knowledge Bases
78317CB0	EADEEG: An Energy-Aware Data Gathering Protocol for Wireless Sensor Networks
794B394A	Expression profiling of 68 glycosyltransferase genes in 27 different human tissues by the systematic multiplex reverse transcription‐polymerase chain reaction method revealed clustering of sexually related tissues in hierarchical clustering algorithm analysis
7F37B2AF	Cosmic Star Formation: Constraints on the Galaxy Formation Models
75F341F0	Neural differentiation of mouse embryonic stem cells studied by FTIR spectroscopy
7A3F32C8	Behavior pattern extraction by trajectory analysis
048575DB	The Thermodynamics of Dense Cores
7692AD90	Use of CpG island microarrays to identify colorectal tumors with a high degree of concurrent methylation
0B2AB24E	A New Hierarchical Clustering Model for Speeding Up the Reconciliation of XMLBased, Semistructure
75F269F4	Detecting WIMPs in the microwave sky
7ADFF6A7	ST-ACO: Image Compression Using a New Adaptive Self-Organizing Tree Approach
7EAD9564	Quantitative phase-analysis by the Rietveld method using X-ray powder-diffraction data: application to the study of alteration halos associated with volcanic-rock-hostedmassive sulfide deposits
7E8ED778	Study of Deep Web Sources Classification Technology
7A24A7AC	Altered gene expression in human hepatoma HepG2 cells exposed to low-level 2,4-dichlorophenoxyacetic acid and potassium nitrate.
80C596B0	Effects of rooting via outgroups on ingroup topology in phylogeny
6152F40A	A multivariate statistical approach to identifying organic compounds using an oscillating plasma glow discharge detector for gas chromatography
6059E66F	A Hierarchical Clustering Technique as Basis of Discrete Structure Formation
76C32725	Large-scale structure formation for power spectra with broken scale invariance
14E4B446	DENDRO; hierarchical cluster analysis of data. [IBM360,370; FORTRAN IV (98%) and Assembly language (2%)]
7B3FDDCD	A Novel Video Detection System on Traffic Flow Inspection
84EE76FE	An assessment of the origin and variation of groundwater salinity in southeastern Ghana
7363955E	Hierarchical image segmentation using adaptive pattern sizes
6E0CC469	Confronting Hierarchical Clustering Models with Observations of Galaxy Pairs
599EF142	Career-path analysis using optimal matching and self-organizing maps
75CB449D	The Emergence of the Thick Disk in a Cold Dark Matter Universe
7863DAFA	Temperature increase prevails over acidification in gene expression modulation of amastigote differentiation in Leishmania infantum
79B29774	Hierarchical cluster model for perceptual image processing
7D247090	Temporihygrophilous Quercus broteroi forests in southern Portugal: Analysis and conservation
7DCF70A3	Faint Blue Galaxies and Merging: The Evolution of the Luminosity Function
7CEBC46F	Crowd Intelligence in Intelligent Environments: A Journey from Complexity to Collectivity
0D5D0BC6	Spheroidal System Formation and QSO Activities with Hierarchical Clustering Process -Implications from Skeleton Tree Formalism
79CA6B65	Identifying Dimensions of Business Continuity Plan from Common Expressions among Business Continuity Professionals
7D0DC45B	Phenotyping and genotyping of Sporothrix schenckii isolates according to geographic origin and clinical form of Sporotrichosis.
851BFCE4	Detecting mixed Mycobacterium tuberculosis infections and differences in drug susceptibility with WGS data
7DEE669E	Genome fingerprinting of the silkworm, Bombyx mori, using random arbitrary primers
7C3EDBB8	Identifying Overlapping and Hierarchical Thematic Structures in Networks of Scholarly Papers: A Comparison of Three Approaches
7A1BF538	Multivariate statistical analysis of two-dimensional NMR data to differentiate grapevine cultivars and clones
75496AEE	Modified hierarchical clustering for sparse component analysis
605E69FD	Caracterização Sócio - econômica e tecnológica dos piscicultores da região Central do Estado de Tocantins, utilizando técnicas de análise multivariadas
09308103	PERBANDINGAN KLASTERISASI SECARA HIERARKI ANTARA SINGLE LINKAGE DAN COMPLETE LINKAGE UNTUK SOLUSI TSP SECARA HEURISTIK
0240F5CD	Some analyses of Erdo?s collaboration graph
7B26D0D1	Classification of Myoviridae bacteriophages using protein sequence similarity
801CE80A	Host adaptive immunity deficiency in severe pandemic influenza
692C52CE	Spatial Frequency Components of to the Event Related Brain Potentials (ERP)
7BBC728A	Neuroprotective gene expression profiles in ischemic cortical cultures preconditioned with IGF-1 or bFGF
7EBD88DE	Vertical distribution and source identification of polycyclic aromatic hydrocarbons in anoxic sediment cores of Chini Lake, Malaysia: Perylene as indicator of land plant-derived hydrocarbons
76498434	Hierarchical Clustering Assisted Human Health Risk Assessment of PAHs in a Typical Oilfield, China
7ABBCA39	Interactive Exploration of Hierarchical Density Clusters in Gene Expression Data
76EC4BCA	Chemotypical Variability of Leaf Oils in Elephantopus scaber from 12 Locations in China
5AAAEBEB	Vaginal carcinoma : Studies on etiology and prognostic factors
7FDD9DAA	The detectability of baryonic acoustic oscillations in future galaxy surveys
7D0EAE51	Molecular evolution of multiple recurrent cancers of the bladder
741C2F8D	Using ordination and clustering techniques to assess multimetric fish health response following a coal ash spill
7E7C45E6	A method for clustering surgical cases to allow master surgical scheduling
79D8ED21	Application of random hierarchical clustering in metabolic networks
78D67F81	Genome-based expression profiling study of Hunner’s ulcer type interstitial cystitis: an array of 40-gene model
7E33EE15	Star Formation in Satellite Galaxies
786CF572	Subgroups of children with autism by cluster analysis: a longitudinal examination.
7E1F63C8	An efficient SVM-GA feature selection model for large healthcare databases
80429AB3	Risk factors for requiring extracorporeal membrane oxygenation support after a Norwood operation
779598F5	Use of a hierarchical cluster procedure to classify neuronal responses during conditioning
7F8ED4E9	PLP: Towards a realistic and accurate model for communication performances on hierarchical cluster-based systems
752518C6	High-throughput powder X-ray diffraction, IR-spectroscopy and ion chromatography analysis of urinary stones: A comparative study
7F7A3C78	An Efficiency Clustering Algorithm Based on Mathematics Morphology and Scale Space Theory
80DDC902	A person-centered approach to the multifaceted nature of young adult sexual behavior
7EF94747	An Advanced Hierarchical algorithm for protein complex prediction
7A4CAED5	Fitting semiparametric clustering models to dissimilarity data
7C0AAEA6	Identifying travel and tourism industry clusters: an empirical analysis using macro–economic data
7CD1B390	EEHC: Energy efficient heterogeneous clustered scheme for wireless sensor networks
6D2C50FF	Star formation histories in early-type galaxies
77B955CE	Comprehensive expression profiling analysis of OsIAA gene family in developmental processes and in response to phytohormone and stress treatments
63F07936	Formation of cD galaxies and dissipationless collapse.
0F61BA18	Numerical Approaches to Identiflcation of Characteristic Soil Layers in an Urban Environment 1 1 Project supported by the National Natural Science Foundation of China (No. 40625001) and the Knowledge Innovation Program of the Chinese Academy of Sciences (No. KZCX2-YW-409).
5ACB80EF	Modelling Galaxy Formation at high z
7A8D2427	A multisite investigation of binge eating behaviors in children and adolescents.
800E2C4D	Classification of planetary nebulae by cluster analysis and artificial neural networks
6436E7F2	Spheroidal Galaxies/QSOs Connection
7B05CAFD	NORE1B, a candidate tumor suppressor, is epigenetically silenced in human hepatocellular carcinoma
5FD705B7	How does the UK NHS compare with European standards? A review of EU health care systems using hierarchical cluster analysis
09032414	Automatic Thesaurus Construction based on Grammatical Relations
7E6FB2C8	Cross-Cultural Aspects of Passionate Love An Individual Differences Analysis
8117BA70	An Energy-Aware Protocol for Data Gathering Applications in Wireless Sensor Networks
5DCCF799	Hopfield� K-Means clustering algorithm: A proposal for the segmentation of electricity customers
107E4A5C	Improving techniques for satellite-based constraints on the lightning parameterization in a global chemical transport model
77ACF8A5	Relationship between rearing practices and eating quality traits of the muscle rectus abdominis of Charolais heifers
5F5CC3A6	Unsupervised clustering with spiking neurons by sparse temporal coding and multi-layer RBF networks
7FE2485F	Cluster and Factor Analysis of Structural Economic Indicators for Selected European Countries
7F0B552A	Identifying design patterns in object-oriented software systems using unsupervised learning
