7E0FCFAB	Optimal smoothing for trend removal in short term electricity demand forecasting
7FBBF51A	Memory Data Flow Modeling in Statistical Simulation for the Efficient Exploration of Microprocessor Design Spaces
7E96E832	Intelligent resource simulation for an airport check-in counter allocation system
7D60EDE7	Simplicity versus accuracy in a model of cache coherency overhead
7C614373	Model predictive control of switched nonlinear systems under average dwell-time
777F15F8	The application of remote-sensing data to monitoring and modelling of soil erosion
7DE59FB2	Interpreting the concordance statistic of a logistic regression model: relation to the variance and odds ratio of a continuous explanatory variable
7B197220	Meso-gamma scale forecasts using the nonhydrostatic model LM
7A9CDCB1	Shrinkage in reinforced concrete structures: A computational aspect
7976F7FB	NIR spectroscopy for the optimization of postharvest apple management
7DA82ECC	RIVER HYDROLOGY AND RIPARIAN WETLANDS: A PREDICTIVE MODEL FOR ECOLOGICAL ASSEMBLY
7D786854	Analytical microdosimetry model for proton-induced SEU in modern devices
7846E5EB	A PREDICTIVE MODEL OF EDGE EFFECTS
80E89DBF	Neural networks based model predictive control of an industrial polypropylene process
7D2F39B5	Subdomain Model for Predicting Armature Reaction Field of Surface-Mounted Permanent-Magnet Machines Accounting for Tooth-Tips
7A5CCF53	Using graph-based program characterization for predictive modeling
7852B503	Relationships between macrophytic vegetation and physical features of river habitats: the need for a morphological approach
7FB7121C	An artificial immune systems based predictive modelling approach for the multi-objective elicitation of mamdani fuzzy rules: A special application to modelling Alloys
7B211FD3	Time based patterns in mobile-internet surfing
7F382BBB	Adaptive rank filtering based on error minimization
80AE55C0	Effect of data quality on habitat preference evaluation for Japanese medaka (Oryzias latipes) using a simple genetic fuzzy system
7FCD49CA	SEU Prediction From SET Modeling Using Multi-Node Collection in Bulk Transistors and SRAMs Down to the 65 nm Technology Node
76B3BA37	A unified framework for optimality analysis of model predictive control
79E4F1B0	Action spectrum of temperature in natural climate environment and prediction of temperature response in concrete
0567AA6F	Office Building Maintenance: Cost Prediction Model
79D1F692	A review on resource availability prediction methods in volunteer grid computing
7D1F000E	Strengthening the empirical analysis of the relationship between Linus' Law and software security
7C7BF6B5	An improved HHT with GM(2,1) predictive model for fault detection and diagnosis
7BEDEB78	Single operator, multiple robots: an eye movement based theoretic model of operator situation awareness
7B370CDE	Bayesian Heteroskedastic Choice Modeling on Non-identically Distributed Linkages
8072A6F7	Pattern recognition of business failure by autoassociative neural networks in considering the missing values
78A6D605	Modelling transfer of Listeria monocytogenes during slicing of 'gravad' salmon
7DB97804	Streaming feature selection using alpha-investing
809B55BE	Two-dimensional linear prediction and spectral estimation on a polar raster
785F3D75	Elimination of minimum flash-point behavior by addition of a specified third component
7C092C4C	Predictive models for the practical management of renal cell carcinoma
7FDBB5CD	Improved rate control scheme in H.264 for real-time communication
7A30A767	Statistical analysis of agronomical factors and weather conditions influencing deoxynivalenol levels in oats in Scandinavia
75B7CDDE	3D-QSAR analysis of cycloguanil derivatives as inhibitors of A16V+S108T mutant Plasmodium falciparum dihydrofolate reductase enzyme
7A06EF1D	Modelling the effects of temperature, water activity, pH and lactic acid concentration on the growth rate of Escherichia coli.
7E29D7CD	Advances on BYY harmony learning: information theoretic perspective, generalized projection geometry, and independent factor autodetermination
80482CA0	Analytic model for a nonlaminated cylindrical magnetic actuator including eddy currents
7D7D5BA3	Analysis of Packet Loss for Compressed Video: Effect of Burst Losses and Correlation Between Error Frames
8167250A	A new approach to stability analysis for constrained finite receding horizon control without end constraints
76F7495C	Safety models incorporating graph theory based transit indicators
7F3BCC4B	Accurate simultaneous switching noise estimation including velocity-saturation effects
7B298DC8	A simple model for predicting incidence of chronic kidney disease in HIV-infected patients
7F84D13D	A Semi-Analytical Method for Predicting the Performance and Convergence Behavior of a Multiuser Turbo-Equalizer/Demapper
7EC53362	Spatially-based accuracy assessment of forestation prediction in a complex Mediterranean landscape
7D226007	Predictive models of habitat preferences for the Eurasian eagle owl Bubo bubo: a multiscale approach
7F3B914A	General scheme of teleoperation for space robot
8106B424	Experimental Validation of a Performance Model for Simple Layered Task Systems
7FAEC2EE	Validation of Radio Channel Models Using an Anechoic Chamber
583E8395	Stochastic Petri Nets for very short-term wind speed modeling
7DD9C26B	Expression analysis of stage III serous ovarian adenocarcinoma distinguishes a sub-group of survivors
7524D5FB	Equilibrium interface segregation in the diopside–forsterite system II: Applications of interface enrichment to mantle geochemistry
5F7BF3F3	Towards Predictive Modelling of Student Affect from Web-Based Interactions
7E044306	Hotspot traffic statistics and throughput models for several applications
7F205716	An empirical study of bagging and boosting ensembles for identifying faulty classes in object-oriented software
7DC3B38D	Leveraging hierarchy in medical codes for predictive modeling
8059F0E4	Mining LMS data to develop an early warning system for educators: A proof of concept
78BA0691	Evaluation of procedures for prediction of unconventional gas in the presence of geologic trends
814024F8	Sources of error in substation distribution transformer dynamic thermal modeling
79AB0CFC	Neural Network Ensembles for Time Series Prediction
769640EF	Science Priorities for Seamounts: Research Links to Conservation and Management
7E52A9B0	Evaluation of Path Loss Models at WiMAX Cell-Edge
804B25D1	A study on fault-proneness detection of object-oriented systems
7B6A6BF6	Effect of the medium characteristics and the heating and cooling rates on the nonisothermal heat resistance of Bacillus sporothermodurans IC4 spores
79C62B8A	Crack initiation life prediction for solid cylinders with transverse circular holes under in-phase and out-of-phase multiaxial loading
7BE2BCC9	Leaf area prediction model for sugar beet ( Beta vulgaris L.) cultivars
807478DD	Calibration and transferability of accident prediction models for urban intersections
7C37D713	Defining and validating metrics for assessing the understandability of entity-relationship diagrams
80A20498	On wire failures in micro-electronic packages
80D4BA65	A comparison of neural network models for prediction of RF propagation loss
7F7C287D	Application of grey prediction theory to forecast technology input within the Chinese High-Tech Industries
79EBFE1D	Modeling of silicon oxynitride etch microtrenching using genetic algorithm and neural network
7A8DF359	Battery Level Estimation of Mobile Agents under Communication Constraints
78AB4D95	Time-to-failure of randomly reinforced glass strand/urethane matrix composites: data, statistical analysis and theoretical prediction
7EBE152F	A temperature-type model for describing the relationship between fungal growth and water activity
7E2C02CE	Edge patterns in aquatic invertebrates explained by predictive models
7C41BF94	Prediction of colloidal stability in white wines using infrared spectroscopy
7DD4F78A	Pre-silicon MOSFET mismatch modeling for early circuit simulations
77A965DD	Significance of rainfall distribution in predicting eucalypt plantation growth, management options, and risk assessment using the process-based model CABALA
809A0337	A Novel Load Shedding Framework LS-LG for Similarity Querying on Data Stream
7FD2C447	Using monitoring data gathered by volunteers to predict the potential distribution of the invasive alien bumblebee Bombus terrestris
7E11BE34	Uncertainty Analysis of Weather Controlled Systems
05FEECD7	Learning Predictive Models of Memory Landmarks
7A80C902	To what extend can we predict students' performance? A case study in colleges in South Africa
7CF7BE69	A bounded exploration approach to constructive algorithms for recurrent neural networks
80BD2122	Towards a simplified infinite horizon model predictive controller
77445362	Docking and quantitative structure–activity relationship studies for 3-fluoro-4-(pyrrolo[2,1-f][1,2,4]triazin-4-yloxy)aniline, 3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)aniline, and 4-(4-amino-2-fluorophenoxy)-2-pyridinylamine derivatives as c-Met kinase inhibitors
