7632557C	Information not present<---Quality of service provision under channel fading
76B0A7A2	Advanced Materials Research<---Technology Principle and Application of Microseismic Monitoring Rockburst
84C52E95	Information not present<---DISTI | VIJESTI - Google’s launches new quick flight search
7962532B	Sigmetrics Performance Evaluation Review<---Bridging router performance and queuing theory
7954BE8E	IEEE Transactions on Smart Grid<---An Approach for Distribution Transformer Management With a Multiagent System
7A576448	IEEE Wireless Communications<---Emerging standards for wireless mesh technology
80BDE7ED	Journal of Business Ethics<---A Software Defined Radio Test-Bed for WLAN Front Ends
5E97982F	Proceedings of the IEEE<---Performance and energy efficiency of hybrid ARQ over ground-HAP links
12FB8514	Information not present<---SmartLiving Net Cam
7F27BD0C	International Symposium on Information Theory<---Optimal Capacity Allocation, Routing, and Congestion Control in Wireless Networks
8070728B	IEEE Journal on Selected Areas in Communications<---Physical-Layer p-Cycles Adapted for Router-Level Node Protection: A Multi-Layer Design and Operation Strategy
80608E0C	Vehicular Technology Conference<---Low Complexity Synchronization Algorithm for Non-Coherent UWB-IR Receivers
79C7235E	Computer Communications<---End-to-end support for statistical quality of service in heterogeneous mobile ad hoc networks
7D0EC763	Information not present<---Evolved UTRA - physical layer overview
7C1FD378	Proceedings of the National Academy of Sciences of the United States of America<---A modular microfluidic architecture for integrated biochemical analysis
7DA1AEBA	IEEE Transactions on Wireless Communications<---On cooperation in energy efficient wireless networks: the role of altruistic nodes
0FCDB01A	International Conference on Computer Communications<---Tradeoffs in the Design of Physical Layer Hardware for 1Ø MB/S CSMA/CD Networks Operating on CATV-Type Broadband Media
7E4289D9	IEEE Communications Magazine<---Unified Radio Network for Broadcasting and Broadband Wireless Access [Advances in Mobile Multimedia]
5D73B241	International Symposium on Circuits and Systems<---Optimal frame synchronization for DVB-S2
7E25FE8F	Information not present<---Adaptive routing and wavelength assignment with power constraints using Ant Colony Optimization
7F15A1C3	Information not present<---A Physical Layer Secured Key Distribution Technique for IEEE 802.11g Wireless Networks
7AACD9C0	Information not present<---Physical layer scalability of energy-efficient heterogeneous optical space switches
7E169C8B	World of Wireless, Mobile and Multimedia Networks<---A novel Middleware for the Mobility Management Over the Internet
7F633006	International Conference on Communications<---MU-MIMO with Localized Downlink Base Station Cooperation and Downtilted Antennas
76304F28	Computational Intelligence<---Collaborative Attack Model at Physical Layer of Mobile WiMAX Network
3BAA7BDE	Information not present<---DISTI | VIJESTI - FIT Coding Challange 2011
74871A81	Information not present<---Development of a Combined Sex Pheromone-based Monitoring System for Malacosoma disstria (Lepidoptera: Lasoicampidae) and Choristoneura conflictana (Lepidoptera: Tortricidae)
012176EB	Information not present<---DISTI | VIJESTI - Dell Monitori - UltraSharp U2211H i U2311H
8058B640	International Conference on Communications<---On Optimization of CSMA/CA based Wireless LANs: Part II - Mitigating Efficiency Loss
4776B036	Information not present<---MONITORING & FEEDBACK ANALYSIS FRAMEWORK FOR A HIGH-PERFORMANCE DISTRIBUTED WEB CRAWLER
7DE868A1	Information not present<---Secrecy Enhancement in Cooperative Relaying Systems
7B8ADAB5	IEEE Network<---CDMA for wireless personal communications [Books]
753837A9	Photonic Network Communications<---QoS-Friendly Wavelength Assignment in Dynamic Wavelength-Routed Optical Networks
79095CA5	Information not present<---Hierarchical queue-length-aware power control for delay-sensitive applications over wireless networks
7CF86867	Vehicular Technology Conference<---Performance of adaptive MC-CDMA in HiperLAN/2++
778969B7	Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks<---The impact of directional antenna models on simulation accuracy
8042F929	IEEE Transactions on Vehicular Technology<---Channel Occupancy Time Based TCP Rate Control for Improving Fairness in IEEE 802.11 DCF
7E17185C	IEEE Communications Letters<---Collision recovery in distributed wireless networks with opportunistic cooperation
5C44134F	Information not present<---Bottom-up cross-layer optimization for mobile ad hoc networks
7854FC45	Information not present<---Multi-node coordinated jamming for location privacy protection
76A83EE5	Spring Simulation Multiconference<---Perspectives of hybrid passive optical networks and the HPON configurator
7DF018D8	Wireless Communications and Networking Conference<---UWB ranging with energy detectors using ternary preamble sequences
816855B6	International Conference on Communications<---Protection and Restoration from Link Failures in DWDM Networks: A Cross-Layer Study
7FA60426	Compilers, Architecture, and Synthesis for Embedded Systems<---Instruction set extensions for software defined radio on a multithreaded processor
816ED736	Consumer Communications and Networking Conference<---An extended framework for WSN applications
79563F10	Information not present<---Joint Physical-MAC Layer Design Framework for Wireless LANs
7CFD4C4C	Global Communications Conference<---Cross-Layer QoS Support for Packet Multimedia in Wireless Networks
79DA0E9E	Information not present<---Understanding the effects of power amplifiers on bandwidth efficient single-carrier and multi-carrier waveforms
78922E61	Information not present<---Clouds Trust Anchors
7C1420F8	Vehicular Technology Conference<---DF/AF Cooperative Relay in LTE-A
7EF297E8	Information not present<---Mass spectroscopy of 3-arylpyrimido[4,5-c]pyridazine-5,7(6H,8H)-diones and 3-aryl-7-thioxo-7,8-dihydro-6H-pyrimido[4,5-c]pyridazine-5-ones: Dimers containing water cluster and quasi-covalent hydrogen
7D09C36E	Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks<---Analysis of the impact of hello protocol parameters over a wireless network self-organization
7F4AB8FE	Information not present<---Overview of high capacity optical cross-connects
80BB2903	Vehicular Technology Conference<---Robust channel estimation in wireless LANs for mobile environments
79F01CC5	Information not present<---Jamming attack detection and countermeasures in wireless sensor network using ant system
7853A656	It Professional<---Supporting Group-Oriented Mobile Services Transactions
7C5D0C24	Information not present<---A second-order spatial hopping transmission scheme for physical layer security
7D67CB1B	International Conference on Acoustics, Speech, and Signal Processing<---Radio frequency watermarking for OFDM wireless networks
7D78C525	Pacific Rim Conference on Multimedia<---A modified time synchronization function in IEEE 802.11 using differentiated contention window
7C38BCDB	Information not present<---MIMO VANETs: Research challenges and opportunities
5CC373F7	International Conference on Network Protocols<---Sniffing out the correct physical layer capture model in 802.11b
800FF22B	Information not present<---Embedding physical layer processes in link layer analysis
7FF92FF2	Information not present<---Multiple spreading codes based MAC protocol for wireless networks
390C5D65	Information not present<---DISTI | VIJESTI - Prvi dan proljeća
7CFBE849	Information not present<---The Role of Ethernet over SDH in QoS Switch/Router
810BDB88	Global Communications Conference<---Agile Radio Implementation of OFDM Physical Layer for Dynamic Spectrum Access Research
7B36C0E4	Information not present<---Measurements of multi-antenna gains using a 3GPP-LTE air interface in typical indoor and outdoor scenarios
761A66D6	Local Computer Networks<---Dynamic Programming-based Energy-Efficient Rate Adaptation for Wireless Ad Hoc Networks
6CA38B3A	International Conference on Communications<---A design and implementation for the management plane of UNI/NNI resources in HANbit ACE64 ATM switching system
7787ABB8	Local Computer Networks<---Cross Layer Design for IEEE 802.11 WLANs: Joint Rate Control and Packet Scheduling
7E3981C9	Wireless Personal Communications<---Design of Adaptive Modulation and Coding Scheme for Truncated Hybrid ARQ
7E2B68D3	International Conference on Communications<---Magnetic induction channel models and link budgets: A comparison between two Agbinya-Masihpour models
75532B05	Information not present<---Throughput, delay and bandwidth efficiency of IEEE 802.15.4a using CSS PHY
7584E662	Software - Practice and Experience<---The suitability for master/slave concurrency of concurrent Euclid Ada and Modula
80CA693D	Information not present<---A comparision of packet scheduling algorithms for OFDMA systems
80DBE291	Vehicular Technology Conference<---Preamble Design for Millimeter-Wave Single Carrier WPANs
