794848A1	The absorption spectrum of C2HD between 9 000 and 13 000 cm-1
13D42C86	Analysis of Long Wave Infrared (LWIR) Soil Data to Predict Reflectance Response
77BE4435	Changes in the dielectric properties of a plant stem produced by the application of voltage steps
7CC6E519	Fourier transforms of rapidly decreasing functions
5AF3B931	Rotational spectrum of the N 2 ··CO complex: ortho-N 2 and para-N 2
7D305D44	FFT Synthesis of Radiation Patterns With Wide Nulls Using Tapered Leaky-Wave Antennas
80F058EE	Research on positive and negative slope LFM signal joint coding communication technology based on fractional Fourier transform
797BE211	Fabrication of PbS nanoparticle coated amorphous carbon nanotubes: Structural, thermal and field emission properties
81008F8C	Higher-order spectral analysis of human motion
7689929C	Structure and thermodynamics of the one- and two-component square-well fluid
79A617D4	On the Moving Griffith Crack in a Nonhomogeneous Orthotropic Strip
791EE146	Fourier transform large-amplitude alternating current cyclic voltammetry of surface-bound azurin
7589B1C2	Automated analysis of 3-D shape and surface strain distributions of a moving object using stereo vision
796C8B1B	Modified dissipativity for a non linear evolution equation arising in turbulence
7532B211	Recognition by symmetry derivatives and the generalized structure tensor
7C077F79	Isotopic and chemical dilution effects on the vibrational relaxation rate of some totally symmetric motions of liquid acetonitrile
8141DB56	Retrieving Dispersion Diagrams of Waveguide-Coupled Planar Photonic-Crystal-Embedded Microresonators
7E2C63E0	Comparison of the cosine and Fourier transforms of Markov-1 signals
75C66C81	Fourier transform ion cyclotron resonance detection: principles and experimental configurations
7F171A92	A green synthesis of copper oxide nanoparticles by mechanochemical method
77593DF2	5D Covariance tracing for efficient defocus and motion blur
796DA65F	New perspectives about molecular arrangement of primary and permanent dentin
7E00B3F8	FOURIER TRANSFORM EMISSION SPECTROSCOPY OF SOME NEW BANDS OF ReN
78A875AE	Non-local theory solution of a mode-I crack in a piezoelectric/piezomagnetic composite material plane
7B3779AA	Some simple flows of a Burgers’ fluid
804B0E12	Nuclear norm minimization algorithms for subspace identification from non-uniformly spaced frequency data
764A5317	Concentration of electric field near electrodes on piezoelectric layer
631E99F9	Infinite medium neutron wave propagation—I: Theory
81095408	Strain analysis by mismatch moire method and grid method using Fourier transform
7E310985	Programmable Adaptive Spectral Imagers for Mission-Specific Application in Chemical/Biological Sensing
7F5F11AB	Evaluation of Frequency-Distance Relation Validity for FORE Optimization in 3-D PET
7F2305B0	Generalized Discrete Fourier Transform With Nonlinear Phase
78A1669B	Near-infrared Fourier-transform and millimeterwave spectra of the BiS radical
7584DE5E	On the Convergence of Nonconvex Minimization Methods for Image Recovery
7B655458	Pseudo Complex Cepstrum Using Discrete Cosine Transform
80E2CADA	A fractional Gabor transform
7A1E993A	Calculation of Fourier transforms of a Brownian motion on the Heisenberg group using splitting formulas
7DB06779	Image reconstruction via optimal control on the bundle of directions of the plane
7F3DD155	Optical thin film synthesis program based on the use of Fourier transforms
7DF6C354	Fourier transform rheometry on carbon black filled polybutadiene compounds
7A7EF1A9	Superradiance and scattering of the charged Klein–Gordon field by a step-like electrostatic potential
7EB937E9	Space-time distortion elimination for shaped ultrafast laser pulses
7CFEBA9E	Fourier Transform Spectroscopy of Carbonyl Sulfide from 4800 to 8000 cm −1 and New Global Analysis of 16 O 12 C 32 S
5D484DC3	The spectral main sequence of human saccades
7B1C5CBF	Time‐dependent Hartree approximation applied to the photodissociation of ICN
7DC99A54	Surrogate cloud fields generated with the iterative amplitude adapted Fourier transform algorithm
8095B85B	Ideal distortion-free transmission using optical Fourier transformation and Fourier transform-limited optical pulses
7DEF066F	Towards a Robust Feature-Based Watermarking Scheme
7B4230E8	EEG mapping in seasonal affective disorder
7CD658D4	The v1+v3 Bands of the 16O17O16O and 16O16O17O Isotopomers of Ozone
7B2C087C	Bounds on energy flux for finite energy turbulence
76558C6F	An Experimental Investigation of the Rhombic EMP Simulator Under Pulse Excitation
7B4682E9	The degradation of poly(vinyl chloride) studied using fourier transform raman spectroscopy
7C70DFDC	Image Processing and the Arithmetic Fourier Trans-form
76061658	The rotational spectrum and structure for the argon-cyclopentadienyl thallium van der Waals complex: Experimental and computational studies of noncovalent bonding in an organometallic π-complex
80B4EE1F	A quantitative analysis of SNR in the short-time Fourier transform domain for multicomponent signals
7888B12C	Ab initio study of low-lying triplet states of the lithium dimer
614A2B43	Microwave spectra and electric dipole moments of X4Σ12−1 VO and NbO
7FEF9F9A	Automated logic synthesis of random pattern testable circuits
7AD77A2F	Temperature dependence of nitrogen and oxygen broadening of the 16O3 ν 3 band
7AA8F11B	Limits on bandlimited signals
81E3C420	Statistical analysis of nonparametric transfer function estimates
7E7D1C63	Optimized DFT-FB transceivers over LTV channels
7525E5FF	Three-dimensional imaging system based on Fourier transform synthetic aperture focusing technique
781986F9	Quantum group of automorphisms of a finite quantum group
8066CA9C	A fast algorithm for the Fourier transform over finite fields and its VLSI implementation
7C9A637B	Implementation and experience of a web-based allocation system with Pocock and Simon's minimization methods
5D2A09BA	On the Computation of Optical Flow using the 3-D GaborTransform
7A7D4306	Windowed Fourier transform for fringe pattern analysis: theoretical analyses
7833D6F4	Bandwidth considerations in modulated and transient photoconductivity measurements to determine localized state distributions
77044411	3DINVER.M: a MATLAB program to invert the gravity anomaly over a 3D horizontal density interface by Parker-Oldenburg's algorithm
7FDDFEFA	Degradation of Silicone Rubber under AC or DC Voltages in Radiation Environment
75FC1DBA	Sub-bottom profiling using ocean ambient noise
7A18D8B1	Recovery of images from atmospherically degraded short-exposure photographs
775F3D14	Exact solutions for unsteady unidirectional flows of a generalized second-order fluid through a rectangular conduit
7DFD8E40	A short review of signals and systems for spatial audio
7E8794B5	Optimizing bandwidth limited problems using one-sided communication and overlap
7BE3F52B	A Neurodynamic Optimization Method for Recovery of Compressive Sensed Signals With Globally Converged Solution Approximating to $l_{0}$ Minimization
78F2A4BF	Visible intracavity laser spectroscopy with a step-scan Fourier-transform interferometer
7D69C1DF	Protecting practical FFT implementations that share common processing elements
767F8E44	Microwave spectrum of Ne:HBr: structural perspectives on Rg:HX, Rg=Ne, Ar, Kr; X=F, Cl, Br, I
18E291EE	Sampling of Sparse Signals in Fractional Fourier Domain
75777089	FrFT-Based Scene Classification of Phase-Gradient InSAR Images and Effective Baseline Dependence
789FC485	Experimental investigation of vibrational radiative lifetimes: H2O+ and D2O+ ions in their ground electronic state (X 2B1)
81066E7C	A translational and rotational invariant descriptor for automatic footwear retrieval of real cases shoe marks
762E9BB4	Evaluation of Climatic Change through Harmonic Analysis
5B3610D7	Tandem Mass Spectrometry in Quadrupole Ion Trap and Ion Cyclotron Resonance Mass Spectrometers
7786F078	Analysis of the REDOR Signal and Inversion
80BF3348	Real-time PDA-based recursive Fourier transform Implementation for cochlear implant applications
769A1E64	Effects of chirp on two-dimensional Fourier transform electronic spectra
5CEA7469	Sketch-based image retrieval using angular partitioning
811D443E	Optimal Alignment of 3D Data for Spatial Discretization
79B6AB1E	Predissociating fundamental vibrations of DCN‐‐‐DF
79023E1D	Mixed-Signal Fourier Transform for Electrochemical Impedance Spectroscopy
7BF4D71F	Simulation of dynamic linear thermal bridges using a boundary element method model in the frequency domain
779F2B8B	Coalescence of nanosized copper colloid particles formed in Cu‐implanted SiO2 glass by implantation of fluorine ions: Formation of violet copper colloids
7EC6A559	Image Segmentation with GVF Snake and Corner Detection
76A08594	Real time measurement of the spatial coherence using non-redundant two-dimensional aperture array
7DC3EA43	Invariant object description with inverse pyramid based on the truncated modified discrete Mellin-Fourier transform
7FD87D5D	On the design of memory with low energy consumption
81061350	Linear structure modeling and PCA algorithm for bridge crack detection
5C20944D	Weighted one-norm minimization with inaccurate support estimates: Sharp analysis via the null-space property
7FE071E5	Tomographic image reconstruction using the theory of convex projections
7C0492A4	Modified nonlinear morphological correlation using Laplace filtering
7989024F	Adaptation of wavelet transform analysis to the investigation of biological variations in speech signals.
8092E446	Spectral line-shape distortions in Michelson interferometers due to off-focus radiation source
7A6766F2	Study of a propagating finite crack in functionally graded piezoelectric materials considering dielectric medium effect
7E74FA79	Multi-Variable sinc Integrals and the Volumes of Polyhedra
7BF28742	The Fourier-series method for inverting transforms of probability distributions
7E5F9D63	New signal-space orthonormal bases via the metaplectic transform
7C5DC73D	Invariant pattern recognition for range images using the phase Fourier transform and a neural network
7D9B1828	Noble gas–metal chemical bonding: the microwave spectra, structures and hyperfine constants of Ar–AuF and Ar–AuBr
7F25DCA8	Image Denoising with Directional Bases
8110D737	State of the art in linear system identification: time and frequency domain methods
5FA4F13E	SOLUTION OF VLASOV'S EQUATION BY TRANSFORM METHODS.
800204CB	A Mathematical Model to Estimate Out of Focus Blur
8162F239	A Visual Model Weighted Cosine Transform for Image Compression and Quality Assessment
7756E33E	Sparse phase retrieval: Convex algorithms and limitations
