08220318	Perimeter Security Post 9/11
76AF86DF	An iris segmentation algorithm based on edge orientation for off-angle iris recognition
79CE6579	Information technology for European advancement
5B969A57	INQUIRY OVER BIOMETRIC PASSPORTS
7C7D59DB	Conditional comparison for binary fingerprint images based on filtering technology
7EE4613A	Single-anchor indoor localization using a switched-beam antenna
813505E1	The application of UV multispectral technology in extract trace evdidence
813B29A6	Off-line signature verification using ensembles of local Radon transform-based HMMs
77785E20	Determination of chromatic aberration in the human eye by means of Fresnel propagation theory
5E55EA55	개인식별정보와 바이오인식정보의 안전한 결합방법
595AE41C	Multimodal biometric authentication using adaptive decision boundaries
7D1F67AA	Differences in bone mineral in young Asian and Caucasian Americans may reflect differences in bone size
7DB72CC8	Fusion of Multi-Modal Credentials for Authentication in Digital Identity Management Systems
564BDEFE	Blair's Britain 1997–2007: Immigration
7B86F885	FTIR microspectroscopy of tissues for in-vivo and in-vitro cancer diagnostics
81064010	Enhanced biometric smart key scheme for smart card authentication
05095728	Multimodal Authentication For High End Security
7D94A240	A Direct Web Page Templates Detection Method
7BF45D64	Audio-visual fingerprinting and cross-modal aggregation: Components and applications
7EBC5BDF	Robust image hashing based on SPIHT
771CD476	A farmer‐oriented Nile tilapia, Oreochromis niloticus L., breed improvement in the Philippines
7E29F88C	Videology and the future of online video advertising
83B79048	Robust 2D/3D face mask presentation attack detection scheme by exploring multiple features and comparison score level fusion
76306E8A	ArFi lithogrphy optimization for thin OMOG reticle with fast aerial imaging
794DA7B7	Wavefront coding: a modern method of achieving high-performance and/or low-cost imaging systems
59475BB6	Iris-biometric comparators: Minimizing trade-offs costs between computational performance and recognition accuracy
5E3DEC0B	Safety and Security: Biometric Authentication for Access Control
7767B203	MoLoc: On Distinguishing Fingerprint Twins
66C5A919	Influences of physical conditioning and deconditioning on coronary vasculature of dogs
7D4AF37B	Attributed Identity Resolution for Fraud Detection and Prevention
79935450	A Comparative Study of Hand Recognition Systems
7C841DCC	Iris recognition using corner detection
7C3B50E4	USER AUTHENTICATION USING TEMPORAL INFORMATION
5DEE0CC1	Effect of grazing period management on growth performances of camel in climate change condition
76DAAD56	Developmental Tools - Synthetic Biometrics
7AA451B3	Augmenting commercial wireless transceivers with time-of-arrival positioning
5C9D4610	The use of the Automated Fingerprint Identification System to improve the quality of service rendered by the South African Police Service on the East Rand
7882FEF6	Fourier properties of fingerprints
801E65B9	Application of biometric identification technology for network security in the network and information era, which will greatly change the life-style of people
774131C3	Iris features extraction using wave atoms
2FD1B68F	Secure Biometric Authentication Using Recursive Visual Cryptography
050EC588	Decision-Making with Heterogeneous Sensors - A Copula Based Approach
1DBE6544	LibGuides. Epidemiology and Population Health . Research, writing & referencing.
7FB1349F	Biometric identification: Are we ethically ready?
7FF47AE5	Voice as a Robust Biometrics
76203ABB	Analysis of Longitudinal Count Data with Serial Correlation
7C9B51F9	Engineering the future at IEEE
759ACC99	DIORAMA: Dynamic information collection and resource tracking architecture
75338B93	Neurogenetic reconstruction of biometric templates: A new security threat?
75F499DF	RSSI-based location tracking method for device switching of real-time application
7E77AF9C	Application of a Wavelet Packet Transform Based Radial Basis Function Neural Network to Analyze Overlapping Spectra
7D1982E2	A review on Speech and Speaker Authentication System using Voice Signal feature selection and extraction
7B9A67C0	A CMOS Micromachined Capacitive Sensor Array for Fingerprint Detection
7E7C075D	Digital Fingerprinting Based on Synergetic
7991D13A	Cell-line authentication: End the scandal of false cell lines
777A203B	Applying watermarking for copyright protection, traitor identification and joint ownership: A review
80ED89F7	Writer identification based on graphology techniques
8141333C	An Efficient Algorithm for Fingerprint Reference-Point Detection
79963E90	Fingerprint generation of audio signal using Difference of Gaussian
369A08D4	Intermediate/Advanced Research Design and Statistics
76FDA735	Novel algorithm for iris localization
7AF26C71	Mark Twain-technical writer
76465FB0	POEM-based facial expression recognition, a new approach
78BD1894	THz Vibrational Spectra of Hydrated and Dehydrated Samples by Time-Domain Spectroscopy
7524D43D	Forensic applications of ion-beam mixing and surface spectroscopy of latent fingerprints
5D30CB93	Genetic Suspects: DNA profiling versus fingerprint evidence: more of the same?
775C1FC8	How Many Samples Does Convincible Performance Evaluation of a Biometric System Need?
7EF777BB	Mass Density Laplace-Spectra for Image Recognition
6BF8F747	On ridges and valleys [image registration]
600DC78A	Exploring the feasibility of iris recognition for visible spectrum iris images obtained using smartphone camera
58C89E5E	Advances in Biometrics: Sensors, Algorithms and Systems
79514205	Effectiveness of consideration of deformations in problems of fingerprint identification
74FB9ECA	Automatic real-time identification of fingerprint images using wavelets and gradient of Gaussian
7593CE60	A Segmentation Method of Catadioptric Images for Gait Recognition in Unconstrained Environment
7BFAAF03	A Comparison of the Three Conditional Exact Tests in Two‐way Contingency Tables Using the Unconditional Exact Power
26BEDCC7	Cerbère au temps des " bio-maîtres " : la biométrie, servante-maîtresse d'une nouvelle ère biopolitique ? Le cas du programme US-VISIT
80D8AB94	Robust approach for palm (Roi) extraction in palmprint recognition system
7A62DACB	Multimodal biometric recognition inspired by visual cortex and Support vector machine classifier
795C2EF6	Developing efficient speech recognition system for Telugu letter recognition
8317AACC	Low-level fusion and deformation modeling for textured 3D face biometrics
0D9A9814	A survey: Error control methods used in bio-cryptography
7F3D669A	Honeypots: why we need a dynamics honeypots?
753F0A4B	On the comparison of audio fingerprints for extracting quality parameters of compressed audio
795265FB	Using biometrics for sport venue management in a post 9‐11 era
7D8F55B9	Fuzzy geometrical features for identifying distorted overlapping fingerprints
7E361177	Classification of startle eyeblink metrics using neural networks
7EF57E9B	Construction of age-related reference limits for 24-h blood pressure pattern
78BB1E6D	Competition, leaf morphology, and host clone effects on leaf-galling grape phylloxera (Homoptera: Phylloxeridae)
8167B49F	A new approach for fuzzy feature extraction based on pixel's brightness
78AC6EC9	Theoretical Analysis and Experimental Study on Multimodal Biometric
7D04AD36	Stochastic assembly of contig restriction maps
7E863EDF	A staging approach to measuring patient‐centred subjective outcomes*
7CE7ACCB	Biometrics Could Streamline Border Crossings
78201C51	Testing of security applications of optical JTC
2D306239	BIOMETRIC-BASED CARBON ESTIMATES AND ENVIRONMENTAL CONTROLS WITHIN AN AGE-SEQUENCE OF TEMPERATE FORESTS
7A30B003	A code and domain independent traitor tracing system based on the eigen-decomposition of fingerprinted images
7BC44BD9	A rectification algorithm for distorted images from the inclination plane paper
8144FBFC	Cell Planning for Indoor Object Tracking Based on RFID
76C7DEAE	When "health" is not enough: societal, individual and biomedical assessments of well-being among the Matsigenka of the Peruvian Amazon.
7C0A4ADD	Usability of authentication and access control: A case study in healthcare
8536C31A	Representação e classificação de texturas da íris baseado na análise discriminante de Fisher bi-dimensional
795351EE	Robust and fast Vowel Recognition Using Optimum-Path Forest
5DFCA3D3	Fingerprint based access control system "Cerber-1"
2364167B	耳介認証システムの非線形化の精度向上の試み (情報センシング メディア工学)
5B264706	Zigbee RF signal strength for indoor location sensing - Experiments and results
7E076907	A New Nonlinear Dimensionality Reduction Technique for Pose and Lighting Invariant Face Recognition
78F11ECA	Wi-Fi Fingerprint-Based Topological Map Building for Indoor User Tracking
75D12B8F	HEARD: An automatic human EAR detection technique
7677AECB	High-quality 3D fingerprint acquisition using a novel sub-window-based structured light illumination approach
7FFB77FF	Defending against rogue base station attacks using wavelet based fingerprinting
0C056745	Super-resolution image processing with application to face recognition
796E76DC	Identification of people from armpit odor region using networked electronic nose
7A0EA439	Research on Fingerprint image preprocessing and thinning
7028F0F6	Dynamic stochastic segmentation of on-line signature contours
22C09F28	GAO says half of workers haven't applied for TWIC
75CDCCD4	Looking for hand shape based biometric devices interoperability
858B32A8	Document Copy Detection Using the Improved Fuzzy Hashing
7CC44B3D	Preprocessing of off-axis iris images for recognition
78D435FB	Student essay winners - How my career in electrical engineering will contribute to a better life for my family
5DC4C102	Biometric Technology: The Impact on Privacy
30A6D72E	Cardioleader use in acyclic types of sports
7EE21325	Iris Recognition Using Single Feature Vector
7CA8DB39	A comprehensive study of various biometric identification techniques
790896D0	Automatic gait recognition from a distance
