0B80918E	The Rascal Language Workbench
77420C27	Tailoring testing to a specific compiler—experiences
77DE4097	Automatic Hardware/Software interface generation for SynDEx-mixte
7ABBE722	A Cryptosystem Using the Concepts of Algebraic Geometric Code
5D728427	Handwritten Korean character recognition by stroke extraction and representation
7E6BF34C	A direct sequence spread spectrum code acquisition circuit for wireless sensor networks
7F06C272	EduCase: Automatic System for the Development of Educational Software
75A6979B	An application of difference sets to a problem concerning graphical codes
77EB68C7	Design and implementation of web service plug-in on Eclipse platform
7A251860	XML Language for Generating J2ME MIDlet User Interfaces
775A4515	∈SOA - Service Oriented Architectures adapted for embedded networks
8002F219	Parallel processor for real-time structural control
7ABF3D39	Monte Carlo analysis of plasma-surface interactions in a fusion ignition experiment
791AB2FB	Chip-interleaved self-encoded multiple access with iterative detection in fading channels
821C81AA	TENA Software Decommutation System
75C2396E	An interactive modeling and generation tool for the design of Hw/Sw systems
0723FA6F	Application of Open System Technology to the Continuous Casting Plant
5F9F52AD	A new low-power and area efficient RAKE receiver design without incurring performance degradation
8604AC0F	Polyhedral code generation in the real world
7D23407B	Structural analysis of convolutional codes via dual codes
7CEED314	Performance Analysis of Multidimensional Codes Generated/Processed by a Single Planar Device
11DBA51A	Graphic GRAFCET diagram editor based on GeCé
7C6F930D	Towards a toolkit for building language implementations
5E257A1D	Process Semantics of Graph Reduction
5FEAA15E	Code Generation for Polynomial Multiplication
5F92AB05	Flexible generation of Kalman filter code
7F86D977	Development of a Novel Random Matrix Spreading Code Generator for WCDMA Rake Receiver
7D164241	Synthesis of Communication Mechanisms for Multi-tile Systems Based on Heterogeneous Multi-processor System-On-Chips
806BA4AD	Ontology and automatic code generation on modeling and simulation
755EE9F8	Architectural design tool for low area band matrix LU factorization
7F291404	Synthesizing scalable computations from sequential programs
80E0D55A	Open64 compiler infrastructure for emerging multicore/manycore architecture All Symposium Tutorial
7D0754BD	Design flow for automated programming of FPGA
5DEB5406	An Automated Data Warehouse
7F062069	A unified header compression framework for low-bandwidth links
06222BD0	GERES: A code to process MC2-II data for heterogeneous fast reactor cell calculation
7DFB7DE0	Knowledge-based synthesis of custom VLSI physical design tools; first steps
5C0F9F1D	A Model Based Development Approach for Distributed Embedded Systems
75C91290	Performance is dead, long live performance!
7D28B7EB	Genetic Programming meets Model-Driven Development
5DC7E6BF	Behavioral Substitutability in Component Frameworks: A Formal Approach
78971CD7	Parametric analysis for adaptive computation offloading
764D5EA1	Mapping-Based Exchange of Models Between Meta-Modeling Tools
8173C064	Minimal tail-biting trellises: the Golay code and more
80F8A4D7	BNF Converter Multilingual Front-End Generation from Labelled BNF Grammars
7EE6F247	Distributed sample acquisition-based fast cell search in inter-cell asynchronous DS/CDMA systems
81F9906D	A simultaneous multiple BeiDou signal acquisition algorithm for a software-based GNSS receiver
7DE01070	Efficient implementation of the generalized Tunstall code generation algorithm
7F9671E4	Backend for virtual platforms with hardware scheduler in the MAPS framework
736536C7	The SAVANT project
104D2719	NULIF: neutron spectrum generator, few-group constant calculator, and fuel depletion code. [PWR and BWR]
75995F0D	Logging the Abbot: Reflection-Oriented XSLT Programming for Corpora Conversion and Verification
7F2EC5E2	Research of error tolerance plan of data storage for time-recording on automobile driver training
13EA20B8	ANALYSIS & DESIGN OF MODEL-BASED USER INTERFACES An approach to refining specifications towards implementation
7597C0CD	Code generator using distributed phase shifts applied on a chirped fibre Bragg grating in a semiconductor fibre ring laser
7D1CE81E	LHC-GCS:a framework for the production of 23 homogeneous control systems
03E55B8F	Formal Refinement of Software Architectures Based on Rewriting Logic
587E46A6	A Generative Approach for Multi-agent System Development
7C6A91E8	Linear eigenvalue code for edge plasma in full tokamak X-point geometry
8050DF08	Distributed prototyping from validated specifications
7ED2E1F1	Design of application specific processor for H.264 inverse transform and quantization
7BCFBBAC	Architectural Design and Analysis of a VLIW Processor
7C58D315	Turing Plus: a comparison with C and Pascal
78BB5D89	A Glimpse of the Future of Scientific Programming
7F3B92F6	Attentional SNARC: There's Something Special about Numbers (Let Us Count the Ways).
7F693991	Configuration Support and Kinematics for a Reconfigurable Gantry-Tau Manipulator
7B1FCCA7	High-performance optical code generation and recognition by use of a 511-chip, 640-Gchip/s phase-shifted superstructured fiber Bragg grating
614D55D4	CRYx-BCU: A security oriented cost-conscious SoPC implementation for Bus Coupling Units of the European Installation Bus
0F211B1E	Using an Architectural Knowledge Base to Generate Code for Parallel Computers The authors present a reconfigurable compiler for distributed memory parallel computers that performs au toma tic program partitioning, mapping, and communication code generation under the guidance of directives supplied by the programmer.
778F71D7	Validation code generation for unexpected user operation on Web user interface
270E71EB	Suporte a testes automáticos em aplicações web geradas com a OutSystems Platform
5C414E9C	Fortran RED - A Retargetable Environment for Automatic Data Layout
85BA673D	Communication optimizations for global multi-threaded instruction scheduling
79BF3899	Surveyor's Forum: Retargetable Code Generators
791DF12F	The effect of contrast on reading speed in dyslexia.
7574D73B	Design of a Vehicular Code Generator for Distributed Automotive Systems
81FF64C6	Circuit Simulation Code Generation by Computer Algebra
59201837	A Generator for Time-Predictable Code
7E18A91F	Array codes correcting a two-dimensional cluster of errors
84ADDC55	Automatic Generation of Executable Assertions for Runtime Checking Temporal Requirements
7FD8C9B6	Anatomy of Exploit Code in Non-Executable Files using Virtualization
5FCF4352	Towards a Comprehensive Integration and Application Platform for Large-Scale Sensor Networks
5A36F1C5	XCAT-C++: design and performance of a distributed CCA framework
7F87D82E	Graphical definition of in-place transformations in the eclipse modeling framework
814AAB3A	New results on the search for convolutional self-doubly orthogonal codes suitable for iterative threshold decoding
5988A0CF	Improving Code Generation for Associations: Enforcing Multiplicity Constraints and Ensuring Referent
5EE27B18	Hardware-In-the-Loop Simulation of Power Drives with RT-LAB
5BECBA4F	Desarrollo de un Entorno Dirigido por Modelos para la creación de Esquemas de Bases de datos en Cassandra a partir de Modelos UML
778C6AD8	Dragonfly: A Java-Based IAMC Client Prototype
58361F35	A Class of Novel STAP Algorithms Using Sparse Recovery Technique
5B377F22	Using ORM-Based Models as a Foundation for a Data Quality Firewall in an Advanced Generation Data Warehouse
7F3E151D	Directions in modelling large-scale software architectures
7E5D2C38	Integrated Environment for Embedded Control Systems Design
7BA1222C	Abstract only: SPIRAL-generated modular FFTs
7BBE88BD	Mentally ill offenders in prison: The Belgian case
07522C0B	Dependence approximation and global parallel code generation joe nested loops
7DEB53C3	Programming Language Inherent Support for Constrained XML Schema Definition Data Types and OWL DL
6A4F4FF6	Using Actions Charts for Reactive Web Application Modeling
7DA37F25	Similarity-Based Retrieval of CAD Solid Models for Automated Reuse of Machining Process Plans
7946F5ED	Sidelobe Properties of a Complementary Code Used in MST Radar Observations
08CE380B	Code generation in a machine-independent compiler (with retrospective)
7E2A37C0	Subcriticality Measurements with HEU (93.2) Metal Annular Storage Castings
5908791C	A Simple and a Retargetable Code Generator for TCGS
809FA132	A Class of Low-Density Parity-Check Convolutional Codes Based on Difference Families
85BC80A1	ArchWare: Architecting evolvable software
7A962E54	Construction of ZCZ Codes with Low Aperiodic Autocorrelation
7EF6AC98	Synthesis of a closed-loop combined plant and controller model
71DAF38D	A BSP performance prediction model for parallel multigrid algorithms
7EC07065	SmartOSEK Based Design and Verification for In-vehicle Network System: A Model-Based Approach
072ECF90	Recovering Sequentiality in Functional-Logic Programs
79570BFB	Horner's rule-based multiplication over GF(p) and GF(pn ): a survey
5B1B9B7D	Engineering agent conversations with the DIALOG framework
7DF5BFE8	Transactional Memory and OpenMP
785FF109	Code generator for distributed parameter biological model simulation with PDE numerical schemes
773D5B22	A framework for the automation of generalised stability theory
7BA344AB	Investigating the impact of code generation on performance characteristics of integer programs
7F94EBC1	TiGeR, the Transmeta Instruction GEneratoR: A Production Based, Pseudo Random Instruction x86 Test Generator
5D652220	Deep logic program transformation using abstract interpretation
804DE2F0	Model-based kinematics generation for modular mechatronic toolkits
7AE2C12E	Solving banded systems using a parallel programming language with hierarchically data descriptive features
7C999F50	GARSTEC—the Garching Stellar Evolution Code - the direct descendant of the legendary Kippenhahn code
087976F0	The Process Analysis and Application Methods for PLC Code Programming
7AB4C390	A Semantics for Distributed Execution of Statemate
