7D97E2A4	Information not present<--Symmetric clock synchronization in sensor networks
774EE710	Journal of Guidance Control and Dynamics<--Meter-level orbit determination of geosynchronous satellites by an economical tracking system
7A89630C	Information not present<--Diverse synchronization issues in wireless sensor networks
7E7158A4	Design, Automation, and Test in Europe<--Eliminating data invalidation in debugging multiple-clock chips
78DDE6AD	Global Communications Conference<--Long-Term Clock Synchronization in wireless sensor networks with arbitrary delay distributions
60354D4D	Information not present<--Die geregelte logische Uhr, eine globale Uhr für die tracebasierte Überwachung paralleler Anwendungen
7FFC80D0	Conference on Information Sciences and Systems<--Clock synchronization without exchanging timestamps
089D388A	Information not present<--A Posteriori Agreement for Clock Synchronization on Broadcast Networks
7C1B594D	Information not present<--Efficient Clock Synchronization in Wireless Sensor Networks
5AEA7BA6	Global Communications Conference<--Low-complexity training for rapid timing acquisition in ultra wideband communications
7FDD2A92	Symposium on Reliable Distributed Systems<--Using atomic broadcast to implement a posteriori agreement for clock synchronization
792C6104	Proceedings of the IEEE<--Some observations on VLF standard frequency transmissions as received at Sydney, N. S. W.
6935E99C	Information not present<--Implementation issues in clock synchronization
81645AEE	Information not present<--An Efficient Rate Blackbox Algorithm
7A0EB73A	Radio Science<--Relativistic effects on time scales and signal transmission
787CD549	Wireless Networks<--On the scalability of IEEE 802.11 ad-hoc-mode timing synchronization function
7D47378E	International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing<--Time-Triggered Fieldbus Networks State of the Art and Future Applications
5AAF614C	Information not present<--Intercontinental clock synchronization with the block 1 VLBI system
5D55F0A4	Information not present<--Smart Sensor interface for sea bottom observatories
778C1E91	Information not present<--Implementation of a high-speed quantum key distribution system for metropolitan networks
80D57917	Information not present<--Signal and timing analysis of a phase-domain all-digital phase-locked loop with reference retiming mechanism
7F0CC187	International Conference on Parallel Processing<--A compatible and scalable clock synchronization protocol in IEEE 802.11 ad hoc networks
79E54F30	Proceedings of The Institute of Radio Engineers<--Signal-Flow Graphs and Random Signals
633267FA	Information not present<--Synchronizing equivalent clocks across inertial frames
7F6A4A03	Workshop on Positioning Navigation and Communication<--Wireless synchronization in time difference of arrival based real time locating systems
8046B14D	Applied Catalysis A-general<--An integrated high performance fastbus slave interface
78EF16A5	Communications in Statistics-theory and Methods<--Estimation and Confidence Intervals for Clock Offset in Networks with Bivariate Exponential Delays
79228CAB	Information not present<--Research on multi-motor synchronous system based on CAN
7901550E	Distributed Computing<--How to reconcile fault-tolerant interval intersection with the Lipschitz condition
75297310	Journal of Communications Technology and Electronics<--Estimation of the carrier-to-interference ratio in the reverse link of the IMT-2000 cellular communications system
7DC861C9	Wireless Communications and Networking Conference<--RSRP: A Robust Secure Routing Protocol for Mobile Ad Hoc Networks
7ECC6125	Information not present<--Time transfer through optical fibers (TTTOF): Progress on calibrated clock comparisons
7FEE4717	International Conference on Communications<--Cluster-based semi-asynchronous power-saving protocols for multi-hop ad hoc networks
79D02E4A	International Conference on Embedded Networked Sensor Systems<--Optimal clock synchronization in networks
750E19C9	Classical and Quantum Gravity<--Accelerated observers: synchronization and tests of local Lorentz invariance
764BADF4	IEEE Communications Surveys and Tutorials<--Implementing Synchronous Ethernet in Telecommunication Systems
7FFAF3DC	Information not present<--From design-time concurrency to effective implementation parallelism: The multi-clock reactive case
813BF37E	International Conference on Computer Communications<--TurboSync: Clock synchronization for shared media networks via principal component analysis with missing data
77C61C0A	IEEE Micro<--An Evaluation of 8085-based Multiprocessing on a Timeshared Bus
803893A1	IEEE Transactions on Communications<--On maximum-likelihood estimation of clock offset
7C5C05A5	Future Generation Computer Systems<--Using full message exchange for probabilistic clock synchronization (extended abstract)
76C8DB1A	Principles of Distributed Computing<--Optimal and efficient clock synchronization under drifting clocks
78924144	Innovations in Systems and Software Engineering<--Using integer clocks to verify clock-synchronization protocols
7DE54921	Information not present<--A Byzantine-fault tolerant self-stabilizing protocol for distributed clock synchronization systems
58EFA7A7	Information not present<--Wireless communication in automation
7B5A65C0	Real-time Systems<--Combination of clock-state and clock-rate correction in fault-tolerant distributed systems
78CD822F	Principles of Distributed Computing<--An interval-based framework for clock rate synchronization
088D6734	Information not present<--The recovery and restoration of PCM data
7FE9A480	International Conference on Acoustics, Speech, and Signal Processing<--A robust clock synchronization algorithm for wireless sensor networks
751D1812	Proceedings of the IEEE<--Fundamentals of Large Sensor Networks: Connectivity, Capacity, Clocks, and Computation
7719ABE0	Computational Aspects of Social Networks<--Device Synchronization for the Light Control in ZigBee Networks
80129F4A	IEEE Transactions on Instrumentation and Measurement<--Loran-C Sky-Wave Delay Measurements
7F492D17	Global Communications Conference<--Two frequency estimation schemes operating independently of timing information
80A40920	Information not present<--An FPGA-based Focal Plane Array interface for the Panchromatic Fourier Transform Spectrometer
0472840B	International Conference on Intelligent Computing<--Research on Failure Detector in Remote Disaster-tolerant System
58C1E402	Information not present<--실내측위를 위한 새로운 클락 동기 방안
807109E9	International Conference on Automation and Logistics<--Research and Implementation of Time Synchronization Algorithm based on Frequency Adjustment in Distributed System
7E9DDCBF	Global Communications Conference<--A high-speed processor for rectangular-to-polar conversion with applications in digital communications
084B0DC4	Principles of Distributed Computing<--Wait-Free Clock Synchronization (Extended Abstract)
7F97DADD	Information not present<--Fault-tolerant clock synchronization for distributed systems using continuous synchronization messages
80E2DAC9	Information not present<--An evaluation of network time protocol for clock synchronization in wide area measurements
8112D537	Concurrency and Computation: Practice and Experience<--Hypercube clock synchronization
7E9B91DD	Mobile Ad Hoc Networking and Computing<--Asynchronous wakeup for ad hoc networks
764CF5D4	Information not present<--Design of system structure for triple-modular fault-tolerant controller
7FF3CA8C	International Symposium on Circuits and Systems<--A 3.3 V 600 MHz-1.30 GHz CMOS phase-locked loop for clock synchronization of optical chip-to-chip interconnects
7F513872	Information not present<--A clock synchronization skeleton based on RTAI
788AE675	Microprocessing and Microprogramming<--Improving the probabilistic clock synchronization algorithm
7EA73180	IEEE Transactions on Communications<--Sufficient conditions on trellis-coded modulation for code-independent synchronizer performance
7F8535D1	New Technologies, Mobility and Security<--Self Organizing Maps for Synchronization in Wireless Sensor Networks
775F0697	Information not present<--Design of a 10Gbps optical burst mode DPSK receiver for data and clock recovery
7F4C106B	Metrologia<--Precision and Accuracy of Remote Synchronization via Network Television Broadcasts, Loran-C, and Portable Clocks
75F4010D	Signal Processing<--A robust estimation scheme for clock phase offsets in wireless sensor networks in the presence of non-Gaussian random delays
76D41D8D	IEEE Transactions on Circuits and Systems I-regular Papers<--Clock Synchronization Errors in Circuits: Models, Stability and Fault Detection
80D618E1	Vehicular Technology Conference<--Low-Complexity Iterative Synchronization for A Robust Receiver at Low Signal-to-Noise Ratios
7ABEF1E6	Physical Review A<--Relativistically invariant quantum information
8017D408	Chronobiology International<--An observational study on disturbed peripheral circadian rhythms in hemodialysis patients
