7538AFB4	Signal Processing-image Communication<---A region-based subband coding scheme
7F516A29	IEEE Transactions on Circuits and Systems for Video Technology<---New Dynamic Enhancements to the Vertex-Based Rate-Distortion Optimal Shape Coding Framework
75E87259	Intelligent Information Hiding and Multimedia Signal Processing<---A New Just-Noticeable-Distortion Model Combined with the Depth Information and its Application in Multi-view Video Coding
382293F6	Signal Processing-image Communication<---Rate/distortion optimization in multiple description video coding
8024E18E	IEEE Transactions on Multimedia<---Rate-distortion optimized distributed packet scheduling of multiple video streams over shared communication resources
5AD940B6	Conference on Multimedia Modeling<---A Fast Hybrid Decision Algorithm for H.264/AVC Intra Prediction Based on Entropy Theory
80DF04F8	International Conference on Image Processing<---Design and optimization of a differentially coded variable block size motion compensation system
7D40802E	Information not present<---Complexity constrained rate-distortion optimization of sign language video using an objective intelligibility metric
7A2C1E6F	International Conference on Multimedia and Expo<---Rate-distortion optimization for scalable multi-view video coding
5C1532E6	Advances in Multimedia<---Optimal priority packetization with multi-layer UEP for video streaming over wireless network
79AB634B	IEEE Transactions on Image Processing<---Rate Distortion Optimization for H.264 Interframe Coding: A General Framework and Algorithms
838B9CD1	Information not present<---A NOVEL RATE CONTROL ALGORITHM for H.264/AVC
7D465823	Information not present<---Temporal and inter-view skip modes for multi-view video coding
7E8C7BD9	Information not present<---Piecewise-Planar 3D Reconstruction in Rate-Distortion Sense
64B7EA5A	Information not present<---The design of AVS encoder XAVS
7F839825	IEEE Transactions on Consumer Electronics<---VBR rate control for perceptually consistent video quality
81137E63	International Symposium on Circuits and Systems<---Scalable multiview video coding using wavelet
7E6EADC2	Multimedia Signal Processing<---Normal mesh compression based on rate-distortion optimization
7E7903AA	Journal of Zhejiang University Science<---Rate-distortion optimized bitstream switching for peer-to-peer live streaming
2CD48A45	Information not present<---一個具有R-D最佳化內部更新的容錯MPEG-4編碼器
7ADE78FF	Proceedings of SPIE<---An optimized context-based adaptive binary arithmetic coding algorithm in progressive H.264 encoder
814C4B24	International Conference on Multimedia and Expo<---Best wavelet packet bases in a JPEG2000 rate-distortion sense: The impact of header data
7F684A1E	Signal Processing Systems<---Rate control using enhanced frame complexity measure for H.264 video
0352FA79	Information not present<---Fast intra mode SKIP detection algorithm based on adaptive thresholding in H.264/AVC video coding
7F4A17A5	International Conference on Multimedia and Expo<---Directed acyclic graph based source modeling for data unit selection of streaming media over QoS networks
7769FF62	Systems and Computers in Japan<---A study on iterative video coding rate–distortion optimization and its rate control
806055A3	IEEE Journal on Selected Areas in Communications<---Predictive RD optimized motion estimation for very low bit-rate video coding
7E9976BD	IEEE Transactions on Communications<---Distributed Distortion Optimization for Correlated Sources with Network Coding
81563CB9	International Conference on Image Processing<---Optimized transmission of H.26L/JVT coded video over packet-lossy networks
7AA06252	Journal of Zhejiang University Science<---Improved fast intra prediction algorithm of H.264/AVC
5925C993	Systems, Man and Cybernetics<---Improved best prediction mode(s) selection methods based on structural similarity in H.264 I-frame encoder
74278107	Information not present<---Motion estimation for frame-rate reduction in H.264 transcoding
7FAC3A05	IEEE Transactions on Circuits and Systems for Video Technology<---Simultaneous MAP-Based Video Denoising and Rate-Distortion Optimized Video Encoding
782D8B64	International Wireless Internet Conference<---Industry track: adaptive wireless video streaming proxy for home entertainment networks
807F2586	IEEE Transactions on Audio, Speech, and Language Processing<---Trellis-Based Approaches to Rate-Distortion Optimized Audio Encoding
752C5C44	IEEE Transactions on Multimedia<---Intra/Inter Macroblock Mode Decision for Error-Resilient Transcoding
5E0500F9	International Conference on Image Processing<---Feature-based intra-prediction mode decision for H.264
5C7F9BE9	International Symposium on Circuits and Systems<---Rate distortion optimization in the scalable video coding
7EB01D91	IEEE Transactions on Circuits and Systems for Video Technology<---Inter-View Direct Mode for Multiview Video Coding
75E76D2B	Network and Operating System Support for Digital Audio and Video<---Energy-efficient video streaming from high-speed trains
7E27F6E5	International Conference on Multimedia and Expo<---Low cost architecture for JPEG2000 encoder without code-block memory
7D8F9EBF	Etri Journal<---Fast Inter Mode Decision Algorithm Based on Macroblock Tracking in H.264/AVC Video
58FAA979	International Conference on Acoustics, Speech, and Signal Processing<---Rate distortion optimal signal compression using second order polynomial approximation
6A0897AC	Clinical Orthopaedics and Related Research<---Optimal Design of Multiple Description Lattice Vector Quantizers
7C675825	Signal Processing-image Communication<---Error-resilient video coding using long-term memory prediction and feedback channel
802B7761	International Conference on Image Processing<---Flexible bi-directional triadic MCTF with multi-hypothesis update
75F77E78	Information not present<---Rate-constrained video coding using a flexible representation of motion
70F095F2	International Symposium on Circuits and Systems<---A fast rate-distortion optimization algorithm for motion-compensated video coding
76DC3FAC	Information not present<---The design of AVS encoder XAVS
80CF73C3	Pacific Rim Conference on Multimedia<---Adaptive Rate-Distortion Optimization for H.264
7FF29D73	International Conference on Acoustics, Speech, and Signal Processing<---Rate-distortion optimized bitstream extractor for motion scalability in scalable video coding
7E1C9035	IEEE Transactions on Circuits and Systems for Video Technology<---Rate-Distortion Cost Estimation for H.264/AVC
0EC80811	Information not present<---A Fast Inter Prediction Encoding Technique for Real-time Compression of H.264/AVC
121B7C3C	Information not present<---Fast Inter/Intra Mode Decision Algorithm in H.264/AVC Considering Coding Efficiency
7EA6573E	International Conference on Image Processing<---Bidirectional scalable motion for scalable video coding
809871CB	Information not present<---Rate-distortion optimized frame level rate control for H.264/AVC
07AD8725	International Conference on Image Processing<---Fast H.264 Intra-prediction mode selection using joint spatial and transform domain features
7E3E8340	IEEE Transactions on Circuits and Systems for Video Technology<---SSIM-Based Perceptual Rate Control for Video Coding
803980D8	IEEE Transactions on Information Theory<---Successive refinement of information
597957EC	International Conference on Image Processing<---Rate-Distortion Evaluation for Two-Layer Coding Systems
0ACBB26D	Information not present<---Resource allocation for H.264 video encoder: Sequence-level controller
7C415BA8	Ieice Transactions<---Summarization of 3D Video by Rate-Distortion Trade-off
7CB3D891	Applied and Computational Harmonic Analysis<---Three-Dimensional Embedded Subband Coding with Optimized Truncation (3-D ESCOT)
7A9AB398	IEEE Transactions on Audio, Speech, and Language Processing<---Joint Optimization of Base and Enhancement Layers in Scalable Audio Coding
7CFD6498	International Conference on Acoustics, Speech, and Signal Processing<---On fast coding tree block and mode decision for high-Efficiency Video Coding (HEVC)
7C05020D	Signal Processing Systems<---Design and Implementation of JPEG 2000 Codec with Bit-Plane Scalable Architecture
75E87F92	Information not present<---Adaptive fast block mode decision algorithm for H.264/AVC
7DDD41BC	Pacific Rim Conference on Multimedia<---Multiview Video Coding Based on Global Motion Model
31E57B8F	Information not present<---次微瓦適H.264/AVC之極高編碼效能位移估測研究
814D868A	IEEE Transactions on Image Processing<---Rate-distortion-constrained subband video coding
80545A9F	Canadian Conference on Electrical and Computer Engineering<---Efficient scalable DCT-based video coding
