7F1A1204	Information not present<--Active mitigation of induced phase distortion in a GSM SoC
8112180D	IEEE Journal of Solid-state Circuits<--A one volt four-quadrant analog current mode multiplier cell
265867DF	Information not present<--CONSIDERATION ON THE DESIGN OF PFM TELEMETRY ENCODERS
7A012BE3	IEEE Photonics Journal<--Optical Vector Network Analyzer Based on Single-Sideband Modulation and Segmental Measurement
74A0C3D3	Information not present<--Elimination of cross-components of the discrete Wigner-Ville distribution via a correlation method
7EA85A6C	Information not present<--A 2.5-Gb/s clock and data recovery circuit with ΔΣ-modulated fractional frequency compensation
75D6361A	Real Time Technology and Applications Symposium<--WCET Analysis with MRU Caches: Challenging LRU for Predictability
7AF74320	Information not present<--Fractional-N synthesizer simplifies UHF sensor radio
7F03F542	Information not present<--Novel multiport probing fixture for high frequency measurements in dense via arrays
78E26D0D	IEEE Transactions on Information Theory<--Structure, optimization, and realization of FFSK trellis codes
7A1A3634	Information not present<--10-GHz-order shifting frequency multiplier for an optical frequency based on a multistage slant periodic domain inversion of an electrooptic crystal
7718EC1B	Journal of Dairy Science<--Effect of Mechanical Processing and Fat Removal on the Nutritive Value of Cottonseed for Lactating Dairy Cows1
7C7925CA	IEEE Transactions on Acoustics, Speech, and Signal Processing<--Digital image processing test patterns
5B09D95B	IEEE Transactions on Aerospace and Electronic Systems<--Stochastic analysis of random frequency modulated waveforms for noise radar systems
7544BFF0	International Conference on Communications<--System design and implementation of broadband in-band on-channel digital radio
81238CD5	IEEE Transactions on Industrial Electronics<--Single-switch electronic ballast with continuous input current charge pump power-factor correction
7D1E0069	IEEE Transactions on Instrumentation and Measurement<--Lock-in amplifier up to 530 MHz with phase and amplitude demodulation
77D637D7	The Journal of Pediatrics<--Resting energy expenditure is not increased in prepubertal children with Alagille syndrome
802CDD2A	IEEE Transactions on Speech and Audio Processing<--Global frequency modulation laws extraction from the Gabor transform of a signal: a first study of the interacting components case
78521C16	Speech Communication<--Cortical processing of temporal modulations
5C0E79EF	Information not present<--중적외선 레이저 주파수 변조를 이용한 가스 누설 검출
2D48A62A	Information not present<--System converts optical phase changes to RF phase changes
76B5624B	Journal of Dairy Science<--Effects of Supplementation of Energy or Ruminally Undegraded Protein to Lactating Cows Fed Alfalfa Hay or Silage1
7C7743FD	Optics Letters<--61 Gbits/s direct-detection optical OFDM based on blockwise signal phase switching with signal-to-signal beat noise cancellation
78460C35	Information not present<--Novel Integral Sliding Mode Variable Structure Control of High Precision LOS Stabilized Platform with Nonlinear Interference
77E1E84B	Information not present<--Minimum harmonic detection order for Rayleigh resolution in modulation spectroscopy
8013D828	Wireless Communications and Networking Conference<--A Novel Double-Polarized SFBC-OFDM Scheme for ICI Suppression
7F47AD8D	Information not present<--QAM backscatter for passive UHF RFID tags
7E3E4616	International Conference on Acoustics, Speech, and Signal Processing<--Algorithm for decomposing an analytic signal into AM and positive FM components
7D4D80CA	IEEE Journal of Solid-state Circuits<--A mixed-signal integrated circuit for FM-DCSK modulation
8009A917	Journal of Lightwave Technology<--Optimum system parameters for multigigabit CPFSK optical heterodyne detection systems
75D9C467	International Conference on Model Transformation<--Weighted approximation of functions by Bernstein operators on the semi axis
805380DF	Information not present<--Multielement structure of mechanical resonant sensors and optical readout system for acoustic signal analysis
5A350C9C	European Solid-State Circuits Conference<--A 100 MHz Wide-Range BiCMOS Four-Quadrant Multiplier/Mixer
79BC4EE4	Electrical Engineering<--Modern carrier current test equipment
7DFD9242	IEEE Transactions on Acoustics, Speech, and Signal Processing<--Adaptive tracking of multiple sinusoids whose power levels are widely separated
79FFE4B4	Electrical Engineering<--A recording tachometer for measuring instantaneous angular speed variations
7DDAF383	Journal of Lightwave Technology<--Performance of single-electrode 1.5- mu m DFB lasers in noncoherent FSK transmission
808333FC	Document Analysis Systems<--A pulse compression processor implementation with DSP for airborne pulse Doppler radar
7D415DC6	Information not present<--Intermodulation distortion as indicator for interconnect degradation
7914F506	Journal of Biomechanics<--Computation of continuous relative phase and modulation of frequency of human movement
8082CC25	Information not present<--All-digital transmitter architecture based on bandpass delta-sigma modulator
7F01EF1D	IEEE Transactions on Instrumentation and Measurement<--Computation-Based Phase Measurement of RF Power-Amplifier Intermodulation Products
7AF78B55	Logic in Computer Science<--Atomic Lambda Calculus: A Typed Lambda-Calculus with Explicit Sharing
79B4E37C	Transactions of The American Institute of Electrical Engineers. Part Iii: Power Apparatus and Systems<--A Precision High-Speed Telemetering Oscillator
79527C37	Electronics Letters<--Optically frequency modulated GaAs MESFET oscillator
6FCCEEF4	Information not present<--MANUEL S NCHEZ ROSADO, PREMIO HÉROES DE LA SALUD
81E044AB	Information not present<--OFDM-MIMO radar time-domain synthetic bandwidth method
79922E46	Japanese Journal of Applied Physics<--Velocity Control of Cesium Atomic Beam Using Two Frequency-Modulated External-Cavity Diode Lasers
75EE00E3	Ire Transactions on Broadcast Transmission Systems<--The Use of A Mobile Television Monitoring Unit in an Enforcement Program
5B106299	Information not present<--Cross-cultural similarities in the visibility of the stroboscopic effect
7E4B80CE	IEEE Transactions on Industry Applications<--A New High-Quality PWM AC Drive
7A1EAD59	Information not present<--The Fiber-Optic Gyro - A Device For Laboratory Use Only?
7DFBD122	Communications and Mobile Computing<--Analyses of Interferences between Component Carriers in Carrier Aggregation
76736D0F	The Journal of Thoracic and Cardiovascular Surgery<--Optimization of mediastinal staging in potential candidates for stereotactic radiosurgery of the chest
7EA345CF	Information not present<--CIRUJANOS DE LA FM CREAN PARCHES BIOLOGICOS PARA CORREGIR HERNIAS
060D32B0	Information not present<--Optoélectronique hyperfréquence : Modulation, liaisons et commutation
7EFCB5CC	IEEE Transactions on Magnetics<--Frequency Modulation of a Nano-Oxide Layer-Based Spin-Torque Oscillator With FeCo Nanocontacts
79DBED55	Iet Optoelectronics<--Performance enhancement of asymmetric filtered 40 Gb/s carrier suppressed return to zero-differential phase shift keying receiver in a 50 GHz grid
5DAEEAA0	Information not present<--A fast-response high power factor converter with a single power stage
78E5EFA7	International Solid-State Circuits Conference<--An experimental MM-wave high-speed path-length modulator
8045BEE2	Journal of Lightwave Technology<--Optical-frequency encoder using polarization-maintaining fibre
7606268F	Information not present<--Genetic & Evolutionary Biometrics: Hybrid feature selection and weighting for a multi-modal biometric system
7A8A9238	Information not present<--Anisotropic and nonhomogeneous thermal conduction in 1 µm thick CVD diamond
7D68980F	International Conference on Acoustics, Speech, and Signal Processing<--Compact support kernels based time-frequency distributions: Performance evaluation
80643DCA	Information not present<--Speech Transformation System (Spectrum and/or Excitation) without Pitch Extraction.
145C98D8	Information not present<--HF (High-Frequency) Channel Probe.
7E26591D	Information not present<--Combination of WVD with TRM on detection of LFM signal in inhomogeneous medium
7818638E	Information not present<--Optically frequency modulated 6 GHz MMIC oscillator
5B237701	Information not present<--Fiber-optic ground-truth thermometer
5A8D83F7	Information not present<--Frequency Receiver Development for the Satellite Communications (SATCOM) Signal Analyzer.
7CF44A8A	IEEE Transactions on Terahertz Science and Technology<--A Room Temperature Bolometer for Terahertz Coherent and Incoherent Detection
5C86AB36	Information Sciences, Signal Processing and their Applications<--Numerical Investigation of Stochastic Resonance in Different Potential Systems
7A61F322	Electronics Letters<--80~200 GHz erbium doped fibre laser using a rational harmonic mode-locking technique
795D988B	Information not present<--Performance Analysis of Anti Noise FM Jamming of Pseudo-random Code Binary Phase Modulation Fuze Based on Doppler Effect
7D8B4D6E	Proceedings of The Institute of Radio Engineers<--Automatic Selectivity Control
7EDF577F	Procedia - Social and Behavioral Sciences<--Self-oscillating electronic ballast with universal input voltage range
7A06ABF2	Information not present<--Controlling the reconstruction error in Hybrid Filter Banks
7A35D487	Contemporary Music Review<--Auto-Programmable FM and Wavetable Synthesizers
7EF1305A	Information not present<--Synchronization and non-autonomous oscillations in microwave generators on virtual cathode
7EB17BDD	IEEE Journal of Solid-state Circuits<--A bipolar low-voltage quarter-square multiplier with a resistive-input based on the bias offset technique
7B868AB3	Information not present<--Bandwidth of a sinusoidal carrier wave, frequency-modulated by a rectangular wave with half-sine-wave build-up
7DCCF46A	IEEE Photonics Technology Letters<--Colorless FSK Demodulation and Detection With Integrated Fabry–Pérot-Type SOA/REAM
665CB7D2	Information not present<--MUESTRA EN MEDICINA DEL CONCURSO DE CREATIVIDAD
7E72FAED	Information not present<--Small-signal analysis of SOA-MZI-based NRZ wavelength conversion configurations
